"ENSG00000016490" "ENSG00000197632" "ENSG00000133110"
"a7d1_4fec" -0.217902466881525 0.637195933023017 -0.943612216728377
"b3ae_412f" -0.0453777556008337 -0.957333272349029 -0.705372676865926
"3d3b_40f5" -0.661039312626966 -1.38526619523045 -1.28074142252959
"78d1_4946" -0.117978621801627 0.0730006143260839 0.123800921879891
"2800_4691" 0.19154426239593 -1.68812484246522 -0.778780577799788
"dd18_4326" -1.71836284982213 -1.32579557379639 -1.96291287928001
"2d00_4023" -1.12849696587915 -0.248095564054298 -0.132674172414501
"4c83_4965" -0.566092112498558 -0.667723735706747 -0.461164020790046
"1c7d_4407" -1.71836284982213 -1.34032865180732 -1.00671628670309
"307c_4037" -0.73861682377925 -0.827583047911232 0.373683561274285
"8d5d_424a" -1.42342990785064 -0.610424832723123 -0.0828362067104938
"f4fe_4560" 0.815835782942992 0.795352817853959 -0.0411375324489241
"5e70_4f6c" 0.371963417061459 0.654592809481163 -0.467051504935495
"84e5_4094" -0.0711734286839818 -0.50498493112609 -0.318911207056231
"9c18_4eb2" -0.465509091000572 -0.121926440732442 -0.709107509807069
"ad5c_4ce5" -0.108196621045251 0.287031716019466 0.599543099398964
"1ba9_4d79" -0.890381403501536 -0.109322864915598 -0.537315192008807
"e089_4cc0" -0.595448461530044 -0.360036703875377 -0.420875251060701
"6132_4c18" 0.390333102485583 0.875020345205353 1.02371180409323
"7a9e_4793" -1.12849696587915 -0.638655984600689 0.309485956685748
"39e9_4475" -0.955972254598458 -0.421193121949447 -0.884180764788858
"86b9_4119" -0.181923442633897 0.752953615896621 -0.20771908071087
"154f_455f" -1.42342990785064 -0.785110404501492 -0.0391937151707588
"b75e_4b56" -1.71836284982213 -0.287339390058818 -0.0276078555612436
"a8b2_474d" -0.403129563016743 0.356938231870039 0.359323922389755
"3348_4c75" -0.890381403501536 -1.73078220761986 -0.853556074075229
"1f64_4727" -0.422923750249352 -0.549727238241797 -0.249799543678594
"0610_40f0" 0.529631317149299 -0.192025170715776 0.887410732533761
