X1	X2	weight
CLU	SEMA6B	40.0307570371729
FETUB	PRR4	34.1508324743151
CLU	CX3CR1	32.6573525735306
USP54	CLU	31.8939849107198
GPSM3	CLU	31.6749024026243
NEAT1	FGR	30.4585116445392
TPO	TMCC1	30.095489794425
FOLR1	PRR4	29.9249513282511
CSF3R	FETUB	29.3658648478077
SOD3	FETUB	28.611861508811
CLU	FTL	28.5986877707222
GNAI2	PRR4	28.5843502734931
CCL2	CLU	28.2681947890682
BID	CLU	28.0845261520859
AKR1C2	CCDC84	27.8339134991782
CLU	PRB2	27.7008767314696
NEAT1	TGFBR3L	27.5102956456998
MAFB	NTRK1	27.0145892493979
SIK1	FETUB	26.9937662478825
HSPA6	CLU	26.9283722743341
C8orf4	CLU	26.843470411869
ARIH2	NEAT1	26.5463467176602
CSF3R	NTRK1	26.4448562533625
NEAT1	ZBTB9	26.2010304821262
FOLR1	PPP1R18	26.1844931422889
GAS1	FETUB	26.0219955386501
NEAT1	CCL2	25.9931424129413
UNG	SEMA6B	25.9740445833098
NEAT1	AQP9	25.5655313729677
IKBKB	NEAT1	25.4822091537808
ETS2	FETUB	25.260553528055
NEAT1	LILRB1	24.9374140773467
KIAA0907	NEAT1	24.6524712529156
NEAT1	DYSF	24.6110677073629
IGF2	FOLR1	24.3217697603638
SEMA6B	PRR4	24.293656374227
SFTPA2	NEAT1	24.1298484500958
CXCR4	FETUB	23.7488096501357
FOLR1	DPYSL2	23.63720235545
CMYA5	FETUB	23.5497154961046
LDLRAD2	SEMA6B	23.3117876108597
S100A9	FETUB	23.2494410981298
SDS	FETUB	23.2252922587262
FOLR1	MYO1F	22.918076499562
SPATS2	CST1	22.8344790890259
SPACA4	TPO	22.8165196312038
LOC100507547	CNGB1	22.5388803334963
CMTM3	FOLR1	22.516595169311
LOC100507547	TGFBR3L	22.4926442319954
MYD88	FOLR1	22.3333685363665
STUM	FOLR1	22.3070857527315
DUOXA1	TPO	22.2292457872946
CHI3L1	AKR1C2	22.0431790651988
ZNF547	DGKA	22.0221681289714
MUC6	FOLR1	21.8695299763896
ADPRHL1	SEMA6B	21.8259365066521
SYTL2	RUNX2	21.7291396176229
RUNX2	HMOX1	21.7129032309632
KRT18	TPO	21.6871802356315
SPATS2	SPACA4	21.6619270602177
FOLR1	FRMD4A	21.4971916017995
NTRK1	GALM	21.4845247258922
LOC100507547	FTL	21.4807208701079
CHGA	GSTA1	21.4112229218295
MUC6	TPO	21.3791202478996
CTGF	FOLR1	21.3436937555949
GYPC	NTRK1	21.1894910031531
ADPRHL1	AKR1C2	21.1834079031041
KRT23	FOLR1	21.1605284324002
ADCY4	SEMA6B	21.0942105082912
FAM107A	AKR1C2	21.0352020079589
C11orf45	TMCC1	20.9618237986675
CACNG4	FOLR1	20.9309074955672
CLASP1	SEMA6B	20.8680717278986
TRIM7	SLC9A3	20.7413666101075
ADPRHL1	SYTL2	20.5898243167717
JAML	FOLR1	20.5702540100468
FOLR1	FAM177B	20.5363329205902
ADGRE3	FOLR1	20.2029904402027
CLASP1	AKR1C2	20.1959888562843
FOLR1	SLC26A2	20.1806698200708
TNFRSF1B	FOLR1	20.1582304278679
AKR1C2	FXYD6	20.1018261952938
FOLR1	RIC3	19.9339571476516
AKR1B10	FOLR1	19.9236189411904
SFTPC	TRIM7	19.7639443280515
SFTPA2	NTRK1	19.7615294611519
CYTH4	FOLR1	19.633221669587
CD53	FOLR1	19.6154257632654
ATP2A1	TPO	19.575444083047
SPATS2	PACSIN1	19.5609725243525
FOLR1	DHX35	19.5560971463609
SPATS2	FRMD4A	19.5039952183103
FOLR1	C8orf4	19.4754394509171
CX3CR1	SEMA6B	19.4428710740043
FN1	FAM198B	19.3738271600941
TMEM200A	PRR4	19.3507884746272
ZNF423	FBXO24	19.1929985172681
CHI3L1	LDLRAD2	19.1700890621453
TPO	P2RY13	19.1571249191171
TMCC1	ADCY4	19.13747190701
SEMA6B	CST1	18.9493227930849
FN1	ADCY4	18.8907503419378
KRTCAP2	CCDC84	18.8536842694064
CCDC84	ANO7	18.8332117075967
DUOXA1	CCDC84	18.8197604902531
SPATS2	F3	18.7733263539938
RAB32	TPO	18.7416909275692
SPATS2	KYAT1	18.7416112777853
SMTN	FN1	18.717332973573
USP54	SEMA6B	18.6079219287307
CCDC84	TGFBR3L	18.5940135182068
ZNF423	SPACA4	18.5747291222946
FNBP4	AKR1C2	18.5485380579026
GNAI2	PRB2	18.5455184964493
TF	GSTA1	18.3839647453305
SPATS2	PRB2	18.3531978067934
PGLYRP4	TRIM7	18.3006787558207
SPOUT1	SPATS2	18.2502893703523
TRIM7	CEP72	18.1487950760534
