X1	X2	weight
SPATS2	TMCC1	15.8264733793318
FAM107A	TRIM7	14.6585862740442
ZFP36	CDK18	14.4259789482036
USP54	NEAT1	12.9642120497585
SPATS2	PACSIN1	12.1332562380811
C11orf45	HMOX1	12.0220385040309
USP54	SEMA6B	11.7093338729079
DGKA	FAM198B	11.7060311004415
SPATS2	ZBTB9	11.2481038485565
GGH	TPO	11.0824583454819
PSCA	TMEM200A	10.8016693464232
ADPRHL1	LDLRAD2	10.7832492002388
TMCC1	CX3CR1	10.7243950636644
MAFB	ZNF273	10.3325279849992
PSCA	CHST15	10.2484631766321
MFAP4	LRRC25	10.0992924133768
MNDA	TPO	9.98673633552899
USP54	HMOX1	9.94511391267886
C11orf45	COL8A2	9.71317535304977
ALOX15B	SEMA6B	9.65613144319256
LOC100507547	LOC107987462	9.64097037950321
CARS	SEMA6B	9.34572348319141
NPIPA7	SPATS2	9.2865439519588
MFAP4	ELN	9.24723429739677
FBXW10	LDLRAD2	9.04981451491113
FCGR3B	SEMA6B	8.98994906191887
LDLRAD2	RIC3	8.94081517249126
PRF1	HBA2	8.93775809095276
SFTPC	LDLRAD2	8.89023700306594
ICOSLG	LOC100507547	8.85691381109184
P2RY13	SEMA6B	8.81077607544565
CSF3R	TMCC1	8.73997516276247
LDLRAD2	ITGA10	8.73830104459809
ST8SIA5	STARD13	8.61589965221517
FAM107A	CX3CR1	8.50242064031277
C11orf45	PARVB	8.48175164436536
UCHL1	LDLRAD2	8.33994641044961
MFAP4	GNMT	8.28366610003993
PRF1	HBD	8.26984134695254
PRF1	HBB	8.24062004434043
C11orf45	SPI1	8.17622160099916
PRF1	HBA1	8.16784254262957
MEFV	TMCC1	8.14344783524098
TLL1	STARD13	8.09159020127157
PRF1	CDA	8.02326730263227
CARS	TMCC1	7.99330223595749
CHI3L1	FAM107A	7.98339143825356
PRF1	SFTPB	7.9729796480264
ALOX15B	TMCC1	7.93775767314273
LOC107987462	TMCC1	7.8909821998782
KCNJ5	HMOX1	7.84464157589292
FCER1G	C11orf45	7.83650749841289
MUC6	FOLR1	7.70714029195647
KRT18	FN1	7.58674306036355
STARD13	SDS	7.39968025132207
ANKRD10	LDLRAD2	7.37756635353089
C1orf131	ST6GALNAC5	7.37362525056112
ADPRHL1	PARVB	7.25780640270362
ADPRHL1	CHI3L1	7.21437161272739
MMP9	TMCC1	7.21087699218877
ARHGAP22	GRB2	7.20404549135794
MOGAT2	HMOX1	7.174733945347
TNFAIP6	TMCC1	7.09538382342563
C16orf89	PXDN	7.07114244853692
SYTL2	BRI3	7.05767153375716
C16orf89	FAM109B	7.03360374614577
MUC6	FETUB	6.91203815938053
CHMP2A	FN1	6.87571046750102
IGFBP6	PPP1R18	6.87541869375006
SYTL2	ALOX15B	6.7842795747891
MC1R	A2M	6.76316762651798
NDUFA3	IL1B	6.69860183161317
FKBP5	GDNF	6.67039519593222
IL1B	P2RY13	6.62360638049036
EIF4EBP3	FERMT3	6.61517731765355
PLXND1	HSF4	6.58794183225222
EIF4EBP3	FN1	6.52607009992749
DUOXA1	PPP1R18	6.50858210848964
CHST15	FFAR2	6.48946174033591
ANKRD10	AKR1C2	6.47148459673025
C2orf82	DYSF	6.38628409372981
COL3A1	TFCP2L1	6.30805106228469
HOXB5	TNF	6.28525081530774
C11orf45	IRF8	6.2588460815043
CARS	FN1	6.25010250201578
ST6GALNAC5	LILRB4	6.24411089718625
ADPRHL1	UNG	6.23759173653079
LGALS1	C11orf45	6.20976759513975
C2orf82	LOC107987462	6.10644496587161
PIK3AP1	PLEK	6.08492921546999
C2orf82	NNMT	6.06586228444607
USP54	NCF2	6.05043701764434
FCGR2B	TGFBR3L	6.02523760300604
SLC16A14	CX3CR1	6.00094231049514
GPER1	PPP1R18	5.98558535117851
MOGAT2	FERMT3	5.94045239524042
FXYD5	C11orf45	5.93859915451824
COL3A1	ELN	5.92306366816953
FBP1	C11orf45	5.91000608843136
FAM107A	ALOX15B	5.89734388272273
FAM107A	TLL1	5.88465981880513
CX3CR1	PHACTR3	5.83221764026517
EIF4EBP3	COL8A2	5.8136269686187
COL3A1	FMO1	5.80443407385242
CD34	C2orf82	5.80037563682866
ATP2A1	LRRC25	5.76983415864106
MBP	LOC107987462	5.76192685064447
ATP2A1	PPP1R18	5.7571490123222
MSANTD2	PACSIN1	5.73339276803481
TLL1	FFAR2	5.68148184535994
C11orf45	CLEC10A	5.6230351912848
C11orf45	RASL11A	5.61722379562823
CARS	MBP	5.60097036516488
DOK2	C11orf45	5.57677309711104
ZNF354B	USP54	5.56007085041346
GNMT	GPSM3	5.55229791497058
SLC9A3	RUNX2	5.54894255350172
APOBR	AIF1	5.54365870684402
C11orf45	MPEG1	5.5217849179592
C11orf45	ACP5	5.50025831506391
C11orf45	FPR3	5.47624013763951
CHI3L1	SLC16A14	5.4376024948942
MLPH	TNFRSF1B	5.43103318182328
EIF4EBP3	PPP1R18	5.37777564945408
ST8SIA5	COL1A1	5.37340112954082
PLXND1	ZBTB9	5.37175082159882
FKBP5	C11orf45	5.36643313264254
CACNA1I	MEFV	5.33908666356714
C2orf82	NCF1	5.33314852729161
C11orf45	PNMT	5.317441640507
KBTBD12	ADCY4	5.22674104838595
MOGAT2	COL8A2	5.22431531163526
CST6	TNF	5.17984349436616
CYR61	ELN	5.16716491044768
SLA2	CX3CR1	5.16082395190523
CYR61	CST1	5.16032122518509
FAM136A	CTGF	5.14904029689189
CACNA1I	BLK	5.13731735408627
FAM107A	HSPA6	5.09450536230637
CACNA1I	LILRB1	5.08753166811874
TUBB4B	COL8A2	5.08545244803969
