X1	X2	weight
GPSM3	CLU	2.87563113367227
GYPC	CLU	2.49357309533314
BID	CLU	2.26839344372859
PDIA5	FETUB	2.00457892155099
NOS2	FETUB	1.98567934746471
MMP2	HBB	1.95634689509917
CD34	FLT4	1.91758310958666
CD34	PTAFR	1.89152975667828
MMP2	HBA1	1.84268803648811
PTPRN	FETUB	1.82989000368764
GYPC	SCGB3A1	1.81096928095076
MMP2	HBA2	1.76005473037437
PRTFDC1	FETUB	1.75279738249016
CD34	PGLYRP4	1.73014086500233
RINL	SCGB3A1	1.72951123102023
TIMP2	CCL26	1.7091419088684
GYPC	NEAT1	1.70163492838186
IGFBP6	FLT4	1.69271851160594
MMP2	HBD	1.68669531159927
CMYA5	FETUB	1.67310044008704
CHI3L1	KCNQ3	1.66277596368193
ZBTB9	LOC107987462	1.63730930198059
OCA2	LOC107987462	1.62298145652226
CD34	ITGAX	1.60892465996387
OCA2	APOE	1.60553147854478
CACNG4	RINL	1.57662453461228
ALDOC	COL3A1	1.57373619937973
UNG	ITGAX	1.57256602605772
FETUB	CDH26	1.56968817832996
FAM110C	FETUB	1.56725294585827
CD34	PLEKHO2	1.55406939006477
HBA1	FETUB	1.54811446849683
RBM6	LOC107987462	1.53927003830827
CCT3	ARIH2	1.52124228205281
HBA2	FETUB	1.52063223508398
IGF2	LOC100996693	1.51779487671471
CD34	PPP1R18	1.51589284825344
OCA2	TBXAS1	1.51379221842032
IGFBP6	AQP9	1.50659237389703
IGFBP6	LOC107987462	1.50552362780009
LOC107987462	TMCC1	1.50350333327179
ALDOC	CLEC4F	1.49116053440176
OCA2	PLXND1	1.46654340902497
IHH	KCNC1	1.45912417930665
CTGF	ACP6	1.45372255217823
OCA2	C5AR2	1.45158587755392
TTPA	HOMER2	1.44727740949509
IHH	PDIA5	1.4444731880508
CD34	TNFRSF1B	1.43910070177003
MAFB	NTRK1	1.43704403953642
OCA2	SPI1	1.4301169493819
S100A9	FETUB	1.4172234047655
CDK15	SCGB3A1	1.40111869584749
CST6	HTRA4	1.3989342961212
CD34	PLEK	1.38739730901831
TMEM200A	HGD	1.38698904096589
IHH	HBB	1.37820951940643
CD34	MYO1F	1.37626913929657
CCL2	NOS2	1.37375175622315
CDC42EP5	NOS2	1.37049469180128
OCA2	MARCO	1.3688602788951
TNF	NOS2	1.36349473617735
LOC107987462	CCDC84	1.35852089990432
CD34	FERMT3	1.35293702185099
LILRB2	NOS2	1.35160676393628
DUOXA1	LOC107987462	1.34606659960276
PTAFR	TNS3	1.33850561885455
WNK4	MANSC1	1.33220696634837
CHMP2A	TIE1	1.33174201618693
CD34	BID	1.32813568547567
CCT3	FBXO9	1.31550980044282
HMOX1	SCGB3A1	1.31367950335543
APOE	STUM	1.30166068441788
CST6	FCGR3B	1.299836552324
UNG	VSIG2	1.29620818120276
LGALS1	CCL26	1.29314481552096
FOLR1	FRMD4A	1.29159010401601
IGFBP6	NDUFA3	1.28058487994147
HKDC1	PLA2G7	1.28037375988824
IGFBP6	LOC100996693	1.27736956456644
IGFBP6	PHLDB2	1.27495547202713
CD34	MYD88	1.260267622242
PSAP	SCGB3A1	1.26004710173094
CCL26	SPI1	1.25940746297422
SH2D6	LTF	1.25424297032457
PARVB	CCL26	1.2534961118868
PTAFR	LTF	1.25300051846115
