X1	X2	weight
63940	1191	2.87563113367227
2995	1191	2.49357309533314
637	1191	2.26839344372859
10954	26998	2.00457892155099
4843	26998	1.98567934746471
4313	3043	1.95634689509917
947	2324	1.91758310958666
947	5724	1.89152975667828
4313	3039	1.84268803648811
5798	26998	1.82989000368764
2995	92304	1.81096928095076
4313	3040	1.76005473037437
56952	26998	1.75279738249016
947	57115	1.73014086500233
126432	92304	1.72951123102023
7077	10344	1.7091419088684
2995	283131	1.70163492838186
3489	2324	1.69271851160594
4313	3045	1.68669531159927
202333	26998	1.67310044008704
1116	3786	1.66277596368193
221504	107987462	1.63730930198059
4948	107987462	1.62298145652226
947	3687	1.60892465996387
4948	348	1.60553147854478
27092	126432	1.57662453461228
230	1281	1.57373619937973
7374	3687	1.57256602605772
26998	60437	1.56968817832996
642273	26998	1.56725294585827
947	80301	1.55406939006477
3039	26998	1.54811446849683
10180	107987462	1.53927003830827
7203	10425	1.52124228205281
3040	26998	1.52063223508398
3481	100996693	1.51779487671471
947	170954	1.51589284825344
4948	6916	1.51379221842032
3489	366	1.50659237389703
3489	107987462	1.50552362780009
107987462	23023	1.50350333327179
230	165530	1.49116053440176
4948	23129	1.46654340902497
3549	3746	1.45912417930665
1490	51205	1.45372255217823
4948	27202	1.45158587755392
7274	9455	1.44727740949509
3549	10954	1.4444731880508
947	7133	1.43910070177003
9935	4914	1.43704403953642
4948	6688	1.4301169493819
6280	26998	1.4172234047655
65061	92304	1.40111869584749
1474	203100	1.3989342961212
947	5341	1.38739730901831
114801	3081	1.38698904096589
3549	3043	1.37820951940643
947	4542	1.37626913929657
6347	4843	1.37375175622315
148170	4843	1.37049469180128
4948	8685	1.3688602788951
7124	4843	1.36349473617735
107987462	338657	1.35852089990432
947	83706	1.35293702185099
10288	4843	1.35160676393628
90527	107987462	1.34606659960276
5724	64759	1.33850561885455
65266	54682	1.33220696634837
27243	7075	1.33174201618693
947	637	1.32813568547567
7203	26268	1.31550980044282
3162	92304	1.31367950335543
348	375057	1.30166068441788
1474	2215	1.299836552324
7374	23584	1.29620818120276
3956	10344	1.29314481552096
2348	55691	1.29159010401601
3489	4696	1.28058487994147
80201	7941	1.28037375988824
3489	100996693	1.27736956456644
3489	90102	1.27495547202713
947	4615	1.260267622242
5660	92304	1.26004710173094
10344	6688	1.25940746297422
284948	4057	1.25424297032457
29780	10344	1.2534961118868
5724	4057	1.25300051846115
81849	1382	1.25280709733631
130872	107987462	1.25049989662751
2348	80301	1.24839311465188
3481	653247	1.24579831134975
968	92304	1.24543382049879
115761	23533	1.2421048525976
101927612	55691	1.23549001666845
4948	3101	1.2354622536779
4948	2922	1.23124599169519
4057	80301	1.2306397294542
400224	23090	1.22991921561871
2348	2152	1.22707871078971
4948	7305	1.22582252932852
84617	10344	1.22557634439712
219790	114801	1.22201248703266
92304	8515	1.21960310106702
2348	56892	1.21851095004484
56475	56729	1.21822802289913
55734	130872	1.21700348783881
1281	1118	1.21477301591306
947	55911	1.21338205921502
9381	107987462	1.21222034995574
3291	107987462	1.21087123736135
3481	56938	1.20925348292598
51384	2512	1.20582496749818
221504	6541	1.20529410893784
4904	3786	1.20443678812899
4948	3689	1.20153490895104
126432	4057	1.2005134917227
56938	65061	1.19769768943684
25984	7092	1.19683893330009
2995	130872	1.19450126362744
55734	3090	1.19285591611791
683	442213	1.18866183014385
79083	107987462	1.18123815643409
27232	25984	1.18051429539701
4948	150372	1.17837568085205
3481	80168	1.17469583896658
4948	126364	1.17250684944652
4948	929	1.17027812196654
7852	27202	1.16413642303872
713	4948	1.16351345445238
23308	3786	1.16331623843932
714	10344	1.16122207099893
4696	90102	1.161179744394
339287	2995	1.16049587489528
10344	3689	1.16035581237797
90627	4057	1.15353387894361
81610	107987462	1.15191005156151
2215	4843	1.14714852736591
4843	883	1.14507426264809
4948	27180	1.14498359703522
54518	1950	1.14183363271175
6546	4843	1.14170139337248
5629	6541	1.14106452327756
3489	6347	1.13784781708253
2995	10370	1.13684645883462
4239	833	1.13663767155755
5126	1296	1.13652868417865
4239	113622	1.13648420636802
9311	6541	1.13514324967995
27092	63940	1.13478182758596
10517	27202	1.13392202160024
3040	63940	1.13332000599994
3489	5126	1.13227677355283
920	1950	1.12746654559483
2995	23360	1.12707836074749
4948	83706	1.12627998176325
5126	11006	1.12596226859452
4904	1258	1.12476006184817
6688	1545	1.12466658886289
3549	150197	1.12417415059217
100507547	6541	1.12406736879251
2207	10344	1.1232895329089
54518	4843	1.12213820092306
10344	6347	1.12165217074172
10990	10344	1.11878350197425
5156	10990	1.11644260258972
408	10859	1.11580227368477
92304	1469	1.11577403358573
9899	5798	1.11026807335041
9491	54936	1.10763400786891
165530	1469	1.10748609328066
920	56925	1.10718715143012
8676	27202	1.10679244832525
23645	56729	1.10171048082112
9381	2922	1.09957412964506
3101	10344	1.09884496742487
22906	23090	1.09864631810949
4948	4332	1.09788184628391
81693	107987462	1.09425279108674
1808	84879	1.09065034873901
9491	130872	1.08860871690035
683	2213	1.08792124684007
3489	22918	1.0862232881606
4239	55691	1.08554513791692
4948	117157	1.0836228436527
55734	6857	1.08293051256231
3481	56672	1.08229715804611
200185	163351	1.08216312144473
84617	10954	1.08106145411608
55608	130872	1.0798014547688
23308	55691	1.07887091504593
713	10344	1.07878666924085
4884	10954	1.07849369170546
2207	4843	1.07747447113571
683	883	1.07720096407938
5156	2922	1.07184228265466
4948	968	1.07087951848171
640	81610	1.07014411517131
4332	4843	1.06902607963096
7092	442213	1.06797163994922
3394	10344	1.06737445439462
56925	170954	1.06520968509474
339287	26268	1.06480826450509
146556	9381	1.06458290200937
6431	3081	1.06214736773006
1522	7538	1.05789122989517
1490	401647	1.05780219757164
1296	10344	1.0560108887334
11006	4843	1.05283782578142
146556	7173	1.04999830409524
2335	10344	1.04390469305666
3090	653247	1.04290348777045
7837	2215	1.03971846947993
4843	150197	1.03956991678858
107987462	2213	1.03737476905915
968	10344	1.03538060502711
2701	118788	1.03469564129438
4948	714	1.03418380633181
80201	2934	1.03243902184317
51205	1472	1.02991352080068
51205	1469	1.02924119278517
285382	3746	1.02740987089645
4884	7075	1.02322535149546
100128071	6541	1.02240697413659
5027	4843	1.02157405092578
4210	4843	1.02137565832961
2066	4057	1.01861013261898
7274	2	1.01552547217155
2359	4843	1.01390633949752
65244	1470	1.01299602086774
54209	10344	1.01295924902971
8291	4843	1.00751033200991
2006	6541	1.0071271314646
3549	3045	1.00442700008102
26261	6541	1.0029768884863
2081	1950	1.00139010948326
387496	27181	1.00119257154726
6431	7018	0.999697117630146
285382	9734	0.999098848974485
2995	10793	0.997914810582588
1116	84879	0.994708077972727
401647	3081	0.993694916915824
642273	55722	0.991358237380277
3746	653247	0.990937202394253
90102	51313	0.98835929440682
1051	65061	0.987134372840043
10859	4843	0.985981837864114
54780	400224	0.983746643417312
170691	3067	0.982705730944893
146556	7538	0.981835483783984
2525	10637	0.979513341970998
3481	6003	0.977995317092627
4948	10859	0.976944123337812
2214	4843	0.973997804942626
2326	6541	0.973741160677138
10383	130872	0.973395170308477
10344	7045	0.972166103576361
60481	1258	0.972081745888342
340146	7045	0.972025161951199
84617	4843	0.970863304268165
130872	27180	0.970119343783873
65244	1469	0.967854801061021
23090	5129	0.965282797650142
340146	6550	0.962121651093572
4948	54	0.960913910244854
2215	1594	0.95996174483359
4734	90102	0.958678450236749
3762	10344	0.958252214919501
54	10344	0.956544702639088
339287	10425	0.956004265943865
375057	27202	0.953968847040186
84617	79698	0.95316616101589
2620	26268	0.950417630158355
56925	6252	0.949903967347984
165530	1470	0.948985203777202
150094	84174	0.948168151698946
64805	4843	0.946770841707619
10020	65061	0.94658505108338
9899	9491	0.946541255326596
10517	27180	0.945530246962124
2995	10637	0.943590601159224
1808	5273	0.940778379953041
4337	1469	0.939610329182506
3489	100462977	0.939490795826191
117608	2995	0.938730217846338
107987462	165545	0.937926333227194
3043	58504	0.937791384511662
85479	3815	0.937112446286105
23308	23533	0.935884796893762
55225	114801	0.934161989552497
80301	1545	0.932765909166711
7075	5273	0.932112902428936
50636	3067	0.930313940791552
101927612	9173	0.929942096695966
220963	56729	0.929846216994421
683	165545	0.929196737807005
5027	10344	0.928130833442185
683	4332	0.92671709689634
6857	6550	0.926694164341609
340146	1296	0.923634672556431
55608	339287	0.922979221308209
27092	65244	0.92198703515918
7852	637	0.921370680514718
1580	653247	0.919470029783638
146722	10344	0.919431588335796
165530	1472	0.916587851454925
10990	79698	0.916241941447084
339287	27340	0.915752403729407
2317	5724	0.91563601894895
26268	10370	0.914866889262249
3043	401647	0.911547293549644
9491	84513	0.911476472319828
3489	256394	0.911279750745121
7092	5341	0.910664598668199
7057	27232	0.908977868823233
4948	11006	0.908884673055798
3815	130589	0.90855513152173
27295	1296	0.908493877669351
80201	27202	0.907766618306385
7852	1644	0.907001825642797
90102	218	0.906190802391602
85352	150197	0.902637873108218
22846	10344	0.902551719172626
6550	196883	0.901797339405058
51205	1470	0.900545865029183
27340	107987462	0.897674308984557
389658	1472	0.895039117984373
48	27036	0.89260982787436
6039	10288	0.891762776038778
23308	23129	0.890054970797025
6541	100507588	0.889999588028225
115761	6916	0.88965020316523
3040	58504	0.888093588918778
3040	170954	0.887937018534328
11006	408	0.887369258773921
7124	1469	0.886463381637063
63940	80201	0.884776206172266
8676	4948	0.884498968046297
57608	1950	0.883000286099422
55734	57419	0.881249248816596
642273	1469	0.880217841721248
65061	64759	0.879786560477352
81621	4057	0.878954156075024
80201	860	0.878768531879148
9734	57127	0.878390526362922
640	1469	0.878115561694724
4057	3067	0.87740605983758
80201	6688	0.877032411639998
84174	4057	0.875410849090895
57608	3776	0.874157500980812
3777	29993	0.87391776576847
344657	2335	0.873607061768853
150094	6003	0.871656691276195
727897	3551	0.871438602036872
27092	6480	0.871369306368494
653247	8515	0.870631604773834
4239	2878	0.870365436901049
10383	26268	0.870172121446539
10517	6279	0.869063370597725
83706	6541	0.86871884929762
6688	5273	0.866755552939565
860	126364	0.866217395876093
7018	1594	0.865119683723234
170691	10099	0.864087783230949
1580	57419	0.862885664087312
165530	140828	0.862291930752117
27128	1950	0.861210450236043
81693	683	0.856960278652303
27092	26261	0.856558417986096
101059938	117157	0.855882842994319
22906	487	0.85549900887384
285382	64759	0.855437094400053
2214	10344	0.854072078130939
2036	26268	0.853523233108155
54518	56925	0.853236397451115
5551	653247	0.850242874297454
57718	1359	0.849918272047505
196383	53827	0.849575450844031
4915	10501	0.849334129091042
7075	23516	0.846113161946481
56659	80201	0.840498427902304
6347	387496	0.840445592890636
22846	653247	0.840070981012131
5649	4588	0.839431852702668
401944	80201	0.838879214696411
4337	1472	0.838638661642965
54936	6541	0.837775373168935
196883	1470	0.83667498364176
7032	80201	0.836072017846674
57608	23129	0.835305236922828
7133	115761	0.83469120191999
65244	1472	0.83462181577545
60625	3067	0.833877255726103
55082	101927612	0.832232483706865
23533	80201	0.832180539446964
7057	6003	0.831104340602731
80000	4915	0.829112222175557
27092	4904	0.826406166199714
27092	10020	0.825813741812354
400823	80201	0.824936336260646
3746	1469	0.823684223652303
27092	401647	0.82349667215244
117157	80201	0.823027830790823
196883	1469	0.822865417464675
23129	10859	0.819931086624215
640	1470	0.817731452024636
53826	80201	0.817222960561084
23129	5273	0.817010599887584
7852	115761	0.816712060407113
408	10261	0.815818895318145
2042	90102	0.811166014892918
9491	340146	0.809262651866891
27092	642273	0.80921031927174
4904	6440	0.80911470360938
3040	50636	0.807808446036311
7057	2624	0.80677634318947
27092	117157	0.804987189415834
80201	130589	0.804415559806221
408	65244	0.804403752325489
60625	3081	0.802790589153505
4542	653247	0.802558863044093
27092	10099	0.801890204210186
142683	1469	0.801131858984397
5649	6439	0.800674810185893
165530	57608	0.796164095762522
79698	6347	0.796040340665989
1522	10344	0.794935509154414
7852	81621	0.793586224193269
130872	10261	0.793067156626595
7133	23533	0.792813638320661
2359	10344	0.792560868136353
56925	401647	0.791910733298879
79698	51313	0.791395249882817
8637	56729	0.791135500356054
57127	126364	0.788757531401809
26268	53827	0.787945239229317
84419	3746	0.786875170656635
1470	8515	0.786023922604204
1522	1843	0.783401353383526
4057	883	0.782840345814798
55082	5551	0.782267493971638
80000	51313	0.781694271346742
408	27036	0.780359409825533
5126	1469	0.779900128852797
820	10344	0.773212309137742
860	5273	0.772607538899529
282996	27180	0.77219242842
7018	196883	0.771177421571928
440603	57596	0.769722404079604
4843	6280	0.767644792389082
777	203100	0.76593590286432
7903	80201	0.764899649340972
3684	833	0.76448560519327
84908	8000	0.76422677439981
5649	55082	0.763718334747774
1469	8515	0.763181450753293
282996	10859	0.762920182955543
7274	642273	0.761485416483883
23308	3689	0.760960591598182
6480	2214	0.759800110081371
81621	50636	0.758847347006671
4057	60625	0.758386979710346
5126	653247	0.758058606760613
57127	56938	0.757863430436162
7018	5129	0.757569549927624
929	1545	0.754724996844106
6573	60481	0.754573023735113
80201	10261	0.754395545312971
256394	80201	0.753540061856035
282996	3689	0.746239274611388
1296	22918	0.74579556536527
27092	11006	0.744963210610356
340146	2335	0.7440127846496
55911	653247	0.743398287911571
785	10990	0.740114037407723
5126	1472	0.739425597167355
3040	23584	0.737751936970091
80201	6279	0.736690681016664
5126	4588	0.734701493459616
5318	4057	0.733829855716611
623	1469	0.73375747185071
3040	401647	0.733632436421612
57718	3067	0.732308561613182
642273	1470	0.73217364023074
79626	57115	0.728066005524406
85352	3776	0.724297226836287
57016	401647	0.723495535410578
27092	56938	0.720365207885195
48	968	0.718835318315187
3489	90273	0.718351170200045
3746	1470	0.717554912312645
3491	79698	0.713809848588056
10990	653247	0.712531829565
777	56729	0.706275142468179
22846	4057	0.704341121112603
640	1472	0.702790988709963
2219	4915	0.700404846623907
408	642273	0.695529058263098
148170	408	0.6939675877582
114801	6280	0.692985442718131
170954	80201	0.69163646485596
